scr_selcode,sub_id3,cname,credit,scj_scr_mso,scr_examid,scr_examfn,scr_exambf,cls_name,scr_period,precnt,acptcnt,note,unt_ls,cls_id,sub_id,scr_dup,year,sms,department,courseid,course_id,score,tname
4485,GTEA001,教學學習實務(一),0.0,選修,否,否,否,通識教育中心綜合班,"(五)00     未排教室 周惠那,林俞佑",60.0,27.0,,3900,GE00101,96202,1,106,1,GE,1061GE0010196202001,e3e73945c1c62999878b09229f186d33185a59231eb81ba7bdf65b40995053190e483db2a9c91c2e,,"['周惠那', '林俞佑']"
3286,UNIV902,班級活動,0.0,必修,否,否,否,國際生不分系一年級,"(四)02     人B117A 李希奇,王柏婷",5.0,27.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,00001,1,106,1,GE,1061GE0111000001001,e3e73945c1c62999cdf16fadc07d7296532af778ef11421525c90b1de75a67250e483db2a9c91c2e,活動參與 / activity participation,"['李希奇', '王柏婷']"
3287,ATHL101,體育(一),0.0,必修,否,否,否,國際生不分系一年級,(三)01-02 未排教室 黃嘉君,5.0,27.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,00161,1,106,1,GE,1061GE0111000161001,e3e73945c1c62999cdf16fadc07d7296532af778ef114215e916288ae09fd87a0e483db2a9c91c2e,"1. Skills (20%): Swimming, Basket ball, or Volleyball skill test (20%)
2. Physical Fitness Assessment Tests (40%): 
    Test grades located in the last 10% of all Freshman will be recorded as fail. 
    Student who fail in two or more tests need to complete remedial course, or get 0 point in this assessment.
3. Attendance and Regulation (40%)：
   (1) Leave request -3 ~ -10% 
   (2) Late -2%
   (3) Skip school -15%
   (4) Disappear during class time without permission -40% 
        (*Pls inform when you need to leave.)
   (5) Exercise and Health Self-Regulation Passport: at least 1,300 points
   (6) No swimming in swimming course
        a) Limitation: 1 week in this semester. (Not including menstruation)
        b) Complete 12 laps walking/running in Athletic field.",['黃嘉君']
3288,CHIN168,大學國文(一),2.0,必修,否,否,否,國際生不分系一年級,(一)01-04 人203 李希奇,40.0,27.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,04276,1,106,1,GE,1061GE0111004276001,e3e73945c1c62999cdf16fadc07d7296532af778ef114215ac81a6729f5159030e483db2a9c91c2e,"assignments / 作業: 20%
presence / 出席 (total 16-time classes, including the midterm and final ones):  10%
   (more than 7-time absence, 7 included, ""fail""/under 60 scores will be the result of this course) 
Mid-term evaluation / 期中評量 (self-introduction video): 30%
Final evaluation / 期終評量 (introduce your country in groups): 40%",['李希奇']
3289,GBHC101,多元文化,1.0,必修,否,否,否,國際生不分系一年級,(二)01-02 人B119A 李希奇,40.0,27.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,18924,1,106,1,GE,1061GE0111018924001,e3e73945c1c62999cdf16fadc07d7296f22861d2ebd4f75c64aae75fbe3ba3da0e483db2a9c91c2e,"assignments: 20%
presence:  20%  
Mid-term exam (introduce Taichung):30%
Final Exam (introduce Taiwan): 30%",['李希奇']
3290,PMP104,專業領域概述,1.0,必修,否,否,否,國際生不分系一年級,(四)03-04 人B117A 周惠那,40.0,27.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,43024,1,106,1,GE,1061GE0111043024001,e3e73945c1c62999cdf16fadc07d72968612856e87aa543a58b45c02cd59dfb80e483db2a9c91c2e,"平時出席與回饋60% (每週皆須撰寫學習意見)
期中報告 15%
期末報告 15%",['周惠那']
3291,PMP101,溝通表達技巧(一),3.0,必修,否,否,否,國際生不分系一年級,(五)06-08 人B120A 鄭宜玫,40.0,29.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,50229,1,106,1,GE,1061GE0111050229001,e3e73945c1c62999cdf16fadc07d7296f2729c7b0956e228c0352e447cecc64f0e483db2a9c91c2e,"1.	Participation/Quizzes 25%: 4 scheduled quizzes+1 pop quiz (tentative, please see Requirements)
2.	Midterm 30%
3.	Final Presentation 30%
4.	Reflective paper 15%
5.	UP to 5% average bonus for active participation in classroom activities, discussions, etc.",['鄭宜玫']
3292,GBCT101,創意思考,1.0,必修,否,否,否,國際生不分系一年級,"(二)03-04 人B119A ,周惠那",40.0,27.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,50936,1,106,1,GE,1061GE0111050936001,e3e73945c1c62999cdf16fadc07d7296f2729c7b0956e228eb58f3e1083585250e483db2a9c91c2e,,['周惠那']
3293,PMP103,跨領域專題實作,1.0,必修,否,否,否,國際生不分系一年級,"(三)08-10 人204 林昱成,丁美靜",40.0,27.0,"僅限全校國際生大一不分系學士班學生選課
",3901,GE01110,51692,1,106,1,GE,1061GE0111051692001,e3e73945c1c62999cdf16fadc07d7296f2729c7b0956e22836455070c470c0630e483db2a9c91c2e,"1. Attendance  20%
2. Class activitiy participation  30% 
3. Weekly assignment 20% 
4. Final presentation (prototype making) 30%","['林昱成', '丁美靜']"
3294,ECON101,經濟學(一),3.0,必修,否,否,否,國際生不分系一年級,(一)06-08 忠301 秦國軒,40.0,27.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,57551,1,106,1,GE,1061GE0111057551001,e3e73945c1c62999cdf16fadc07d7296f2729c7b0956e228ee92970273b5d3950e483db2a9c91c2e,"Review Session Participation (實習課參與)  30%
Midterm (期中考試)  30%
Final Exam (期末考試)  40%",['秦國軒']
