scr_selcode,sub_id3,sub_name,scr_credit,scj_scr_mso,scr_examid,scr_examfn,scr_exambf,cls_name,scr_period,scr_precnt,scr_acptcnt,scr_remarks,unt_ls,cls_id,sub_id,scr_dup,year,sms,deptId,courseid
2910,GTEA002,教學學習實務(二),0.0,選修,否,否,否,通識教育中心綜合班,(五)00     未排教室 林俞佑,60.0,0.0,,3900,GE00101,96203,001,107,2,GE,1072GE0010196203001
2911,UNIV902,班級活動,0.0,必修,否,否,否,國際生不分系一年級,"(四)02     人504 王柏婷,王惠鈴",60.0,0.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,00001,001,107,2,GE,1072GE0111000001001
2912,ATHL102,體育(二),0.0,必修,否,否,否,國際生不分系一年級,(四)06-07 未排教室 黃嘉君,60.0,0.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,00162,001,107,2,GE,1072GE0111000162001
2913,CHIN178,大學國文(二),2.0,必修,否,否,否,國際生不分系一年級,(一)03-04 紀110 (三)09-10 科航206 姚蘭,60.0,0.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,04277,001,107,2,GE,1072GE0111004277001
2914,GBHC101,多元文化,1.0,必修,否,否,否,國際生不分系一年級,(四)03     人B116A 廖崇斐,60.0,0.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,18924,001,107,2,GE,1072GE0111018924001
2915,PMP102,溝通表達技巧(二),3.0,必修,否,否,否,國際生不分系一年級,(三)02-04 人203 王淑真,60.0,0.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,50230,001,107,2,GE,1072GE0111050230001
2916,GBCT101,創意思考,1.0,必修,否,否,否,國際生不分系一年級,(四)04     人B116A 周惠那,60.0,0.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,50936,001,107,2,GE,1072GE0111050936001
2917,ECON102,經濟學(二),3.0,必修,否,否,否,國際生不分系一年級,(二)06-08 人607 陳依依,60.0,0.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,57552,001,107,2,GE,1072GE0111057552001
2918,ECON102P,經濟學(二)實習,0.0,必修,否,否,否,國際生不分系一年級,(二)09     人607,60.0,0.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,57554,001,107,2,GE,1072GE0111057554001
2919,GBIL114,資訊素養作業一：資料蒐集報告,0.0,必修,否,否,否,國際生不分系一年級,(四)00     未排教室 廖崇斐,60.0,0.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,79871,001,107,2,GE,1072GE0111079871001
2920,GBIL112,資訊素養作業六：電子書編寫,0.0,必修,否,否,否,國際生不分系一年級,(一)00     未排教室 姚蘭,60.0,0.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,79876,001,107,2,GE,1072GE0111079876001
2921,GBSL122,APPS程式設計,1.0,必修,否,否,否,國際生不分系一年級,(五)06-07 行政二館104-電腦實室 王柏婷,60.0,0.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,99393,001,107,2,GE,1072GE0111099393001
2922,GMIE329,介紹台灣,2.0,選修,否,否,否,國際生不分系一年級,(一)06-09 人704,60.0,0.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,GM381,001,107,2,GE,1072GE01110GM381001
2923,GNAT319,3D城市與數位校園,2.0,選修,否,否,否,國際生不分系一年級,"(二)03-04 行政二館104-電腦實室 黃青雲,周天穎",60.0,0.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,GN255,001,107,2,GE,1072GE01110GN255001
2924,GSOS216,台灣社會與文化,2.0,選修,否,否,否,國際生不分系一年級,(五)03-04 人606 (五)08-09 人406 王惠鈴,60.0,0.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,GS032,001,107,2,GE,1072GE01110GS032001
0954,COE422,教學學習實務(二),0.0,選修,否,否,否,工學院綜合班,(五)00     未排教室,60.0,0.0,,4000,CE00101,96203,001,107,2,CE,1072CE0010196203001
