scr_selcode,sub_id3,cname,credit,scj_scr_mso,scr_examid,scr_examfn,scr_exambf,cls_name,scr_period,precnt,acptcnt,note,unt_ls,cls_id,sub_id,scr_dup,year,sms,deptId,courseid,tname,cid,tid,populartiy,ct,course_id,score
3241,GTEA001,教學學習實務(一),0.0,選修,否,否,否,通識教育中心綜合班,(五)00     未排教室 林俞佑,60.0,1.0,,3900,GE00101,96202,1,107,1,GE,1071GE0010196202001,['林俞佑'],1,2,0.016666666666666666,1_2,4beaeb9cadcfa1de878b09229f186d33185a59231eb81ba7bdf65b40995053190e483db2a9c91c2e,
3244,CHIN168,大學國文(一),2.0,必修,否,否,否,國際生不分系一年級,(一)03-04 人202 (三)08-10 人504 姚蘭,40.0,43.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,04276,1,107,1,GE,1071GE0111004276001,['姚蘭'],4,191,1.0,4_191,4beaeb9cadcfa1decdf16fadc07d7296532af778ef114215ac81a6729f5159030e483db2a9c91c2e,"語文素養檢測10%(筆試)
期中分組作業20%(簡報)
個人寫作20%
平時表現30%
期末會考20%(筆試)
加分機制:上限3分(專題演講、藝文活動1分/場)"
3246,GBSP101,社會實踐,1.0,必修,否,否,否,國際生不分系一年級,(三)07     商107 何景榮,40.0,43.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,19997,1,107,1,GE,1071GE0111019997001,['何景榮'],259,1182,1.0,259_1182,4beaeb9cadcfa1decdf16fadc07d7296f22861d2ebd4f75c19219a126b9f7ef40e483db2a9c91c2e,"1. 至少四次上課點名，每次佔學期總成績五分。總計佔學期總成績20%。
2. 觀看社會實踐相關影片的個人心得報告一份，佔學期總成績20%。
3. 於規定時間內完成分組任務並上繳組員名單(包含組員科系)，佔學期總成績10%。
4. 於規定時間內繳交期末團體報告題目並決定報告日期，佔學期總成績10%。
5. 團體口頭報告，佔學期總成績20%。
6. 團體報告電子檔，佔學期總成績20%。
7. 上課發言或主動回答老師的問題，每次加1分，沒有上限。"
3248,PMP101,溝通表達技巧(一),3.0,必修,否,否,否,國際生不分系一年級,(三)02-04 人707 王淑真,40.0,43.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,50229,1,107,1,GE,1071GE0111050229001,['王淑真'],7,785,1.0,7_785,4beaeb9cadcfa1decdf16fadc07d7296f2729c7b0956e228c0352e447cecc64f0e483db2a9c91c2e,"In-class activities 25% (Attendance, quizzes, classroom tasks, etc.)
Assignments 15% (Observations, diaries, oral reports etc.) 
Midterm presentation 30% 
Final presentation 30%"
3256,GHUL220,文學與生活,2.0,選修,否,否,否,國際生不分系一年級,(二)03-04 資電107 鐘文伶,40.0,41.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,GH044,1,107,1,GE,1071GE01110GH044001,['鐘文伶'],15,520,1.0,15_520,4beaeb9cadcfa1decdf16fadc07d729649490ba4034944dd4f683da0988dea800e483db2a9c91c2e,"1、出席率(含課堂實作) ：30%（若缺課5次，出席分數以0分計算。）
2、期中成績：40%(含小組考試與個人DIY作品)
3、期末小組專題發表：30%(擇定報告主題，需先與教師商訂，需繳交PPT與上傳作業)"
3257,GHUR302,台灣民間信仰,2.0,選修,否,否,否,國際生不分系一年級,(五)03-04 人702 (六)02-04 人702 王惠鈴,40.0,41.0,僅限全校國際生大一不分系學士班學生選課,3901,GE01110,GH209,1,107,1,GE,1071GE01110GH209001,['王惠鈴'],969,11,1.0,969_11,4beaeb9cadcfa1decdf16fadc07d729649490ba4034944dd769eff1687c2dff60e483db2a9c91c2e,"作業與上課表現20%
Assignment & class practice 20%
出席20%(出席點名:一律開iLearn點名，上課遲到10分鐘即算缺席，缺席請至MYFCU請假，請假一節扣3分，曠課一節扣5分，1/7截止，100分倒扣，扣完為止，請公假、喪假者，不扣分)
30% attendance (Doing the roll call with iLearn every class. Late for 10 minutes as absent. Please ask for leave with MYFCU. Deduct 3 points if you ask for a leave with the MYFCU, and deducted 5 points if you didn’t. The deadline of ask for leave is January 7th. You have 100 points in this session. If you took official leave or funeral leave, you won’t be deducted points.)
期中報告20%
mid-term report  20%
期末表演20%
Final performance 20%
週六華語加強班20%
Chinese on Weekend 20%"
4469,GSOC207,管理面面觀,2.0,選修,否,否,否,國際生不分系一年級,(四)08-09 資電B06 曾欽正,50.0,42.0,,3901,GE01110,GS045,1,107,1,GE,1071GE01110GS045001,['曾欽正'],1028,261,0.84,1028_261,4beaeb9cadcfa1decdf16fadc07d729649490ba4034944dd077b3b8b8c64ec4f0e483db2a9c91c2e,
1401,COE110,計算機概論,2.0,必修,否,否,否,纖複一甲,(四)01     資電108 (四)02     資電125(電腦實習室) 楊孝淳,5.0,57.0, ,4008,CE05111,27400,1,107,1,CE,1071CE0511127400001,['楊孝淳'],18,41,1.0,18_41,4beaeb9cadcfa1de4b70669152bbc13679c06c2f1dc1c54e84e4035aee6b1eac0e483db2a9c91c2e,
1413,COE110,計算機概論,2.0,必修,否,否,否,纖複一乙,(一)03     工416 (一)04     行政二館104-電腦實室 陳佑全,5.0,54.0, ,4008,CE05112,27400,1,107,1,CE,1071CE0511227400001,['陳佑全'],18,48,1.0,18_48,4beaeb9cadcfa1de4b70669152bbc1367d3bb189e6ca05cd84e4035aee6b1eac0e483db2a9c91c2e,"midterm exam 期中25％ Nov 30 不可用手機 不可翻書 
final report 期末報告 25％  
others 其他50％ 平行授課、出席、練習、作業
補考: (1)需附 教學醫院診斷證明書 (非就醫證明)  (2) 透過學校正式請假   (3)成績打6折  (4)題目較難 (5) 第一題: 我為何補考"
1426,FCME238,紗線製程(一),3.0,必修,否,否,否,纖複二甲,(二)02-04 工416 蔡宜壽,70.0,48.0, ,4008,CE05121,45512,1,107,1,CE,1071CE0512145512001,['蔡宜壽'],28,28,0.6857142857142857,28_28,4beaeb9cadcfa1de4b70669152bbc136787afb19a145abec55e1f0b4bd2336490e483db2a9c91c2e,"(1) Midterm exam: 40 %
(2) Final exam : 30%
(3) Others：30%"
