department,cname,score,cls_name,credit,note
GE,教學學習實務(一),,通識教育中心綜合班,0.0,
GE,班級活動,活動參與 / activity participation,國際生不分系一年級,0.0,僅限全校國際生大一不分系學士班學生選課
GE,體育(一),"1. Skills (20%): Swimming, Basket ball, or Volleyball skill test (20%)
2. Physical Fitness Assessment Tests (40%): 
    Test grades located in the last 10% of all Freshman will be recorded as fail. 
    Student who fail in two or more tests need to complete remedial course, or get 0 point in this assessment.
3. Attendance and Regulation (40%)：
   (1) Leave request -3 ~ -10% 
   (2) Late -2%
   (3) Skip school -15%
   (4) Disappear during class time without permission -40% 
        (*Pls inform when you need to leave.)
   (5) Exercise and Health Self-Regulation Passport: at least 1,300 points
   (6) No swimming in swimming course
        a) Limitation: 1 week in this semester. (Not including menstruation)
        b) Complete 12 laps walking/running in Athletic field.",國際生不分系一年級,0.0,僅限全校國際生大一不分系學士班學生選課
GE,大學國文(一),"assignments / 作業: 20%
presence / 出席 (total 16-time classes, including the midterm and final ones):  10%
   (more than 7-time absence, 7 included, ""fail""/under 60 scores will be the result of this course) 
Mid-term evaluation / 期中評量 (self-introduction video): 30%
Final evaluation / 期終評量 (introduce your country in groups): 40%",國際生不分系一年級,2.0,僅限全校國際生大一不分系學士班學生選課
GE,多元文化,"assignments: 20%
presence:  20%  
Mid-term exam (introduce Taichung):30%
Final Exam (introduce Taiwan): 30%",國際生不分系一年級,1.0,僅限全校國際生大一不分系學士班學生選課
GE,專業領域概述,"平時出席與回饋60% (每週皆須撰寫學習意見)
期中報告 15%
期末報告 15%",國際生不分系一年級,1.0,僅限全校國際生大一不分系學士班學生選課
GE,溝通表達技巧(一),"1.	Participation/Quizzes 25%: 4 scheduled quizzes+1 pop quiz (tentative, please see Requirements)
2.	Midterm 30%
3.	Final Presentation 30%
4.	Reflective paper 15%
5.	UP to 5% average bonus for active participation in classroom activities, discussions, etc.",國際生不分系一年級,3.0,僅限全校國際生大一不分系學士班學生選課
GE,創意思考,,國際生不分系一年級,1.0,僅限全校國際生大一不分系學士班學生選課
GE,跨領域專題實作,"1. Attendance  20%
2. Class activitiy participation  30% 
3. Weekly assignment 20% 
4. Final presentation (prototype making) 30%",國際生不分系一年級,1.0,"僅限全校國際生大一不分系學士班學生選課
"
GE,經濟學(一),"Review Session Participation (實習課參與)  30%
Midterm (期中考試)  30%
Final Exam (期末考試)  40%",國際生不分系一年級,3.0,僅限全校國際生大一不分系學士班學生選課
GE,經濟學(一)實習,,國際生不分系一年級,0.0,僅限全校國際生大一不分系學士班學生選課
GE,微積分(一)實習,,國際生不分系一年級,0.0,僅限全校國際生大一不分系學士班學生選課
GE,微積分(一),"1.Midterm Exam 30%
2.Final Exam 30%
3.Attendance, Homework assignments or Quizzes 40%",國際生不分系一年級,3.0,僅限全校國際生大一不分系學士班學生選課
GE,資訊素養作業一：資料蒐集報告,,國際生不分系一年級,0.0,僅限全校國際生大一不分系學士班學生選課
GE,漫談閩南語,"作業與筆試40%，出席40%，課輔表現20%
Assignment & exam 40%, attendance 40%, participation of after-class tutor 20%",國際生不分系一年級,2.0,僅限全校國際生大一不分系學士班學生選課
GE,文學與生活,,國際生不分系一年級,2.0,僅限全校國際生大一不分系學士班學生選課
GE,生涯規劃,"30% attendance  , 30% classroom participation , 40% term report",國際生不分系一年級,2.0,僅限全校國際生大一不分系學士班學生選課
CE,教學學習實務(一),,工學院綜合班,0.0,
CE,班級活動,,纖複一甲,0.0, 
CE,體育(一),,纖複一甲,0.0, 
CE,服務學習,,纖複一甲,0.0, 
CE,計算機概論,"midterm exam 期中25％ Nov 30 不可用手機 不可翻書 
final report 期末報告 25％  
others 其他50％ 平行授課、出席、練習、作業
補考: (1)需附 教學醫院診斷證明書 (非就醫證明)  (2) 透過學校正式請假   (3)成績打6折  (4)題目較難 (5) 第一題: 我為何補考",纖複一甲,2.0, 
CE,普通化學(一),"A.	Exam 1 (Midterm)	30%
B.	Exam 2 (Final)	40%
C.	Quiz/ attendance&presentation in class- average	30%",纖複一甲,2.0, 
CE,普通化學實驗(一),"1. 出席情況；
2. 違反實驗室安全規則，如：未帶護目鏡、未穿實驗衣、穿涼鞋、短褲 ...；
3. 未帶實驗課本、實驗筆記本；
4. 實驗未知物分析結果；
5. 實驗報告；
以上規定於適當時期在理論講授時，詳加說明，告知同學。
實驗課與理論課不同，涉及同學在實驗室操作的安全，必須確實規範。",纖複一甲,1.0, 
CE,普通物理(一),"平時成績(點名與小考)佔: 30%
普物會考佔: 10%
期中考佔: 30%
期未考佔: 30%",纖複一甲,2.0, 
CE,普通物理實驗(一),"期中成績60%: 預報24%+上課表現36%
期末成績40%：會考20%+筆試或操作考20%",纖複一甲,1.0, 
CE,微積分(一)實習,,纖複一甲,0.0, 
CE,微積分(一),"期中 30%, 期末 30%, 其他 40% 

期中、期末考均配合學校考試時程。內容包含所有講授內容。 
其他 40% 內容是: 
實習課 (兩次會考、小考、 作業、由助教決定)、出席率、印象分數。目的在培養學生平時複習的學習習慣。 
大都是基本練習題.",纖複一甲,3.0, 
CE,纖維與複合材料研發專論暨工程倫理,期中報告佔50%，期末報告佔50%，另學生無故缺席者，超3 次(含)以上該生學期總成績以不通過計。,纖複一甲,1.0, 
CE,資訊素養作業二：危機處理分析,,纖複一甲,0.0, 
CE,大學國文(一),-1,纖複一甲,2.0,
CE,大學國文(一),-1,纖複一甲,2.0,
CE,大學國文(一),-1,纖複一甲,2.0,
CE,大學國文(一),-1,纖複一甲,2.0,
CE,大學國文(一),-1,纖複一甲,2.0,
CE,大學國文(一),-1,纖複一甲,2.0,
CE,大學國文(一),-1,纖複一甲,2.0,
CE,全民國防教育軍事訓練(一),-1,纖複一甲,0.0,本課程需配合實施資訊素養作業二--危機處理分析課程，請重補修生掌握相關選課訊息
CE,班級活動,,纖複一乙,0.0, 
CE,體育(一),"期中成績20%
    游泳、球類運動擇優一項 
平時成績40%
   (1) 請假 -3 ~ -10%，每次多扣一分； (2) 遲到 -2%； (3) 曠課 -15%；(4) 不告而別 -40%；(5) 自我健康管理護照 1300 點以上；(6) 不下限1次 (生理期除外)
期末成績40%
    體適能 (依體適能系統成績給分)，兩項在全校大一後10%，需完成「體適能諮商輔導」及「補救教學3次」，未完成者此項成績為0分",纖複一乙,0.0, 
CE,服務學習,,纖複一乙,0.0, 
CE,計算機概論,"midterm exam 期中25％ Nov 27 不可用手機 不可翻書 
final exam 期末報告25％  
others 其他50％ 平行授課、出席、練習、作業
補考: (1)需附 教學醫院診斷證明書 (非就醫證明)  (2) 透過學校正式請假   (3)成績打6折  (4)題目較難 (5) 第一題: 我為何補考",纖複一乙,2.0, 
CE,普通化學(一),,纖複一乙,2.0, 
CE,普通化學實驗(一),"1. 出席情況；
2. 違反實驗室安全規則，如：未帶護目鏡、未穿實驗衣、穿涼鞋、短褲 ...；
3. 未帶實驗課本、實驗筆記本；
4. 實驗未知物分析結果；
5. 實驗報告；
以上規定於適當時期在理論講授時，詳加說明，告知同學。
實驗課與理論課不同，涉及同學在實驗室操作的安全，必須確實規範。",纖複一乙,1.0, 
CE,普通物理(一),,纖複一乙,2.0, 
CE,普通物理實驗(一),平時成績60%(報告30%+操作考30);期末考40%,纖複一乙,1.0, 
CE,微積分(一)實習,,纖複一乙,0.0, 
CE,微積分(一),"1.期中考試 30 %
2.期末考試 30 %
3.平時成績 40 %",纖複一乙,3.0, 
CE,纖維與複合材料研發專論暨工程倫理,期中報告佔50%，期末報告佔50%，另學生無故缺席者，超3 次(含)以上該生學期總成績以不通過計。,纖複一乙,1.0, 
CE,資訊素養作業二：危機處理分析,,纖複一乙,0.0, 
CE,大學國文(一),-1,纖複一乙,2.0,
CE,大學國文(一),-1,纖複一乙,2.0,
CE,大學國文(一),-1,纖複一乙,2.0,
CE,大學國文(一),-1,纖複一乙,2.0,
CE,全民國防教育軍事訓練(一),-1,纖複一乙,0.0,本課程需配合實施資訊素養作業二--危機處理分析課程，請重補修生掌握相關選課訊息
CE,班級活動,None,纖複二甲,0.0, 
CE,工程數學(一),"midterm exam期中30％  Nov 17 不可用手機 不可翻書 不可請假 
final exam期末40％ Jan 19 不可用手機 不可翻書 不可請假  
others 其他30％
補考: (1)需附 教學醫院診斷證明書 (非就醫證明)  (2) 透過學校正式請假   (3)成績打6折  (4)題目較難 (5) 第一題: 我為何補考",纖複二甲,2.0, 
CE,人造纖維工程(一),,纖複二甲,2.0, 
CE,織品製程(一),"評分方式：
30%平時成績；30%期中考成績；40%期中考成績",纖複二甲,2.0, 
CE,紗線製程(一),"(1)平時成績：40%
(2)期中成績：30%
(3)期末成績：30%",纖複二甲,3.0, 
CE,電腦輔助工程繪圖(一),"(1)平時成績: 30%
(2)期中成績: 30% 
(3)期末成績: 40%",纖複二甲,1.0, 
CE,纖維化學(一),"出席率及平常表現(40%)
期中考 (30%)
期末考(30%)",纖複二甲,2.0, 
CE,織品製程實習(一),"1. 平時成績：40% (含出席學習紀錄、實際操作及討論表現、實習報告) 
2. 期中考成績：30%(實作測驗) 
3. 期末考成績：30%",纖複二甲,1.0,梭織廠
CE,紗線製程實習(一),"1. 平時成績：40% (含出席學習紀錄、隨堂討論表現、實務操作)
2. 期中報告：30%
3. 期末考試：30%",纖複二甲,1.0, 
CE,有機化學(二),-1,纖複二甲,2.0,
CE,班級活動,,纖複二乙,0.0, 
CE,工程數學(一),"midterm exam期中30％ Nov 17 不可用手機 不可翻書 不可請假 
final exam期末40％ Jan 19 不可用手機 不可翻書 不可請假  
others 其他30％
補考: (1)需附 教學醫院診斷證明書 (非就醫證明)  (2) 透過學校正式請假   (3)成績打6折  (4)題目較難 (5) 第一題: 我為何補考",纖複二乙,2.0, 
CE,人造纖維工程(一),,纖複二乙,2.0, 
CE,織品製程(一),,纖複二乙,2.0, 
CE,紗線製程(一),"(1)平時成績：40%
(2)期中成績：30%
(3)期末成績：30%",纖複二乙,3.0, 
CE,電腦輔助工程繪圖(一),"(1)平時成績: 30%
(2)期中成績: 30% 
(3)期末成績: 40%",纖複二乙,1.0, 
CE,纖維化學(一),"出席率及平常表現(40%)
期中考 (30%)
期末考(30%)",纖複二乙,2.0, 
CE,織品製程實習(一),"1. 平時成績：40% (含出席學習紀錄、實際操作及討論表現、實習報告) 
2. 期中考成績：30%(實作測驗) 
3. 期末考成績：30%",纖複二乙,1.0,梭織廠
CE,紗線製程實習(一),"1. 平時成績：40% (含出席學習紀錄、隨堂討論表現、實務操作)
2. 期中報告：30%
3. 期末考試：30%",纖複二乙,1.0, 
CE,有機化學(二),-1,纖複二乙,2.0,
CE,班級活動,,纖複三甲,0.0, 
