dept,sub
通識中心,教學學習實務(一)
通識中心,班級活動
通識中心,體育(一)
通識中心,大學國文(一)
統籌科目,多元文化
通識中心,專業領域概述
通識中心,溝通表達技巧(一)
統籌科目,創意思考
通識中心,跨領域專題實作
綜合班,經濟學(一)
綜合班,經濟學(一)實習
綜合班,微積分(一)實習
綜合班,微積分(一)
通識中心,漫談閩南語
通識核心課,文學與生活
通識核心課,生涯規劃
綜合班,服務學習
工學院,計算機概論
工學院,普通化學(一)
工學院,普通化學實驗(一)
綜合班,普通物理(一)
工學院,普通物理實驗(一)
工學院,纖維與複合材料研發專論暨工程倫理
軍訓,全民國防教育軍事訓練(一)
綜合班,工程數學(一)
工學院,人造纖維工程(一)
工學院,織品製程(一)
工學院,紗線製程(一)
工學院,電腦輔助工程繪圖(一)
工學院,纖維化學(一)
工學院,織品製程實習(一)
工學院,紗線製程實習(一)
工學院,有機化學(二)
工學院,材料力學(一)
工學院,高分子化學
工學院,複合材料製程　
工學院,熱力學
工學院,纖維物理(一)
工學院,纖維染色學
工學院,纖維製品檢驗實習
工學院,工程統計(一)
工學院,線性代數及其應用
工學院,高等工程數學(一)
工學院,創意研發專論
工學院,專題研究討論
工學院,土木用補強材料
工學院,有機生醫材料概論
工學院,紡織工廠管理與設計
工學院,工廠加工實務(一)
綜合班,工程圖學(一)
工學院,機電概論與工程倫理
工學院,應用力學(一)
工學院,工程材料學(一)
工學院,熱力學(一)
工學院,機動學(一)
工學院,機械畫
工學院,流體力學
工學院,控制系統(一)
工學院,專題實作(一)
工學院,機械製造(一)
工學院,機械設計(一)
工學院,機械工程實驗(一)
工學院,工廠管理
工學院,能源工程
工學院,專題實作(三)
工學院,工具機專論
工學院,暑期校外專業實習
工學院,新科技之進化與應用(一)
工學院,智慧機械專題實作
工學院,電子熱傳學
工學院,電腦輔助結構分析
工學院,電腦輔助工程分析-ANSYS
工學院,電工及電子學實驗
工學院,塑膠射出模流分析實務
工學院,學期校外實習導論
工學院,工具機主軸設計與分析
工學院,工業工程與系統管理概論
工學院,工程數學
工學院,工程統計(一)實習
工學院,工作研究
工學院,經濟學
工學院,製造程序
工學院,成本管理(一)
工學院,電工概論
工學院,生產與作業管理
工學院,作業研究(一)
工學院,品質管制
工學院,專業外語
工學院,生產排程
工學院,表現技法
工學院,供應鏈管理導論
工學院,設施規劃
工學院,設施規劃實習
工學院,畢業專題
工學院,決策支援系統與企業智慧
工學院,化學工程概論
工學院,分析化學
工學院,有機化學實驗(一)
工學院,有機化學(一)
工學院,質能均衡
工學院,奈米技術概論
工學院,塗料化學
工學院,化工熱力學
工學院,物理化學(二)
工學院,物理化學實驗(一)
綜合班,單元操作(二)
工學院,化工程序模擬
工學院,高分子工程
工學院,醱酵工程
工學院,程序設計
工學院,程序控制
工學院,單元操作實驗(一)
工學院,半導體材料
工學院,界面活性劑化學
綜合班,專題研究(二)
工學院,計算機程式語言
工學院,航太工程概論
工學院,APPS程式設計
工學院,電子電路學
工學院,應用力學(二)
工學院,飛機次系統
工學院,電腦輔助工程設計-CREO
工學院,空氣動力學(一)
工學院,飛具結構學(一)
綜合班,流體力學(二)
工學院,航太校外專業實習(一)
工學院,航太專題與實作(一)
工學院,控制實驗(一)
工學院,線性控制系統(二)
工學院,航行學
工學院,航太熱質傳學
工學院,電腦輔助工程-ANSYS(一)
工學院,太空動力學
工學院,飛具設計(二)
工學院,航太校外專業實習(二)
工學院,航太專題與實作(三)
工學院,民用航空法及FAA民航法規
工學院,電腦輔助工程-CATIA
工學院,程式設計與應用
工學院,工程力學
工學院,電腦輔助立體繪圖
工學院,精密模具系統設計實務
工學院,精密量測
工學院,精密模具學
工學院,綠色產品設計
工學院,產業機械系統設計實務
工學院,電控設計
工學院,電控設計實驗
工學院,製造學
工學院,影像識別
工學院,液氣壓動力系統
工學院,精密模具設計與製造(ㄧ)
工學院,精密主軸設計與製造
工學院,工具機模組設計與實務應用
工學院,數位製造專題
工學院,學年校外專業實習(一)
工學院,學年校外專業實習(二)
工學院,學年校外專業實習(三)
商學院,品牌創新與經營專題(一)
商學院,期權投資交易實務
綜合班,會計學(一)
綜合班,會計學(一)實習
商學院,民法概要
綜合班,資訊網路
綜合班,中級會計學(一)
綜合班,中級會計學(一)實習
商學院,成本與管理會計(一)
商學院,成本與管理會計(一)實習
商學院,統計學(一)
商學院,統計學(一)實習
商學院,企業倫理
商學院,財政學
商學院,國際貿易與匯兌
綜合班,高等會計學(一)
商學院,高等會計學(一)實習
商學院,財務會計專題研究實習
商學院,財務會計專題研究
商學院,管理會計
商學院,租稅申報實務
商學院,期貨與選擇權
商學院,會計審計法規
商學院,會計資訊系統(二)
商學院,電腦審計
商學院,審計學(二)
商學院,內部控制與鑑識會計
商學院,暑期校外專業實習(一)
商學院,暑期校外專業實習(二)
商學院,會計師業務實務
商學院,校外實習導論
商學院,企業概論
商學院,人力資源管理
商學院,行銷管理
商學院,行為科學
商學院,服務業行銷
商學院,商業軟體應用(二)
商學院,簡報技巧與溝通
商學院,管理活用
商學院,電子商務
商學院,企業管理專題研究(一)
商學院,作業管理
商學院,財務管理實習
商學院,財務管理
商學院,文化創意產業管理
商學院,企業資源規劃實務(一)
商學院,物流管理
商學院,金融市場
商學院,組織行為個案研究
商學院,組織理論
商學院,債券市場理論與實務
商學院,資料庫管理系統
商學院,管理書信寫作
商學院,廣告管理
商學院,顧客關係管理
商學院,人際關係
商學院,策略管理
商學院,企業資源規劃實務(三)
商學院,企業管理書報研討
商學院,投資管理實務(一)
商學院,產業經營實務
商學院,創業管理
商學院,網路行銷
商學院,證券投資學
商學院,商業軟體應用
商學院,國際貿易實務(一)
商學院,國際貿易理論與政策
商學院,國際貿易實務(一)實習
商學院,保險學
商學院,商業英文書信
商學院,商用英文會話(一)
商學院,商事法
商學院,個體經濟學
商學院,國際通路管理
商學院,經濟問題分析
商學院,大陸與東協市場開發與通路管理
商學院,國際金融
商學院,國際企業管理
商學院,國際財務管理
商學院,國際財務管理實習
商學院,國際物流管理
商學院,全球金融創新趨勢
商學院,行銷研究
商學院,投資學
商學院,東亞台商與國際政治經濟
商學院,國際貿易展覽實務
商學院,國貿英文(一)
商學院,供應鏈管理
商學院,社會創新與企業社會責任
商學院,國際人力資源管理
商學院,全球行銷管理
商學院,網路貿易與經營
商學院,國際貿易經營管理
商學院,商用日文
商學院,報關業務經營
商學院,國際商務溝通
商學院,國際貿易操作實務
商學院,國際企業個案分析
商學院,職場英文(一)
統籌科目,公民參與
統籌科目,社會實踐
統籌科目,管理學
商學院,國際文化探索
商學院,產業競爭分析
商學院,國際商業英文
商學院,歐美經貿專題
商學院,租稅法(一)
商學院,個體經濟學(一)
商學院,貨幣銀行學
商學院,成本會計實習
商學院,消費稅理論與制度
商學院,財產稅理論與制度
商學院,財政學(一)
商學院,成本會計
商學院,總體經濟學(一)
商學院,營利事業所得稅
商學院,國際租稅
商學院,財稅專題
商學院,地方財政
商學院,審計學
商學院,抽樣調查
商學院,統計計算
商學院,統計計算實習
商學院,線性代數(一)
商學院,機率論
商學院,機率論實習
商學院,迴歸分析
商學院,迴歸分析實習
商學院,實驗設計
商學院,應用數理統計學(一)
商學院,應用數理統計學(一)實習
商學院,流行病學方法論
商學院,資料採礦
商學院,統計服務學習
商學院,統計專題(一)
商學院,暑期校外專業實習(三)
商學院,經濟書報導讀
商學院,個體經濟學(一)實習
商學院,總體經濟學(一)實習
商學院,套裝軟體-OFFICE
商學院,經濟數學(一)
商學院,管理經濟學
商學院,公共經濟學(一)
商學院,貨幣銀行學(一)
商學院,人力資源經濟學
商學院,商業心理學
商學院,實驗經濟學
商學院,環境經濟學
商學院,計量經濟學
商學院,計量經濟學實習
商學院,綜合專題研究
商學院,企業運作實務
商學院,產業經濟學
商學院,經濟成長
商學院,經濟學與心理學跨界探索
商學院,社會事業
商學院,合作事業
商學院,公民社會與第三部門
商學院,組織行為
商學院,社會學
商學院,合作組織與管理
商學院,非營利組織與管理
商學院,非營利事業經濟
商學院,社會企業實務(一)
商學院,創新管理
商學院,非營利與合作事業綜合研究(二)
商學院,合作與非營利志願服務
商學院,社區經營與管理
商學院,美學與產品創意
商學院,行銷表現工法
商學院,跨文化行銷溝通
商學院,零售與通路經營
商學院,廣告與行銷溝通
商學院,品牌與行銷文案設計
商學院,動態影像美學
商學院,創意設計與意象
商學院,創意學
商學院,網路行銷與品牌發展
商學院,符號解碼與消費行為
商學院,銷售推廣學
商學院,日本商情與策略
商學院,體驗與服務設計
商學院,品牌關係經營實務專題
商學院,全球行銷與談判
商學院,行銷分析與決策
商學院,行銷企劃與商業決策
商學院,餐旅行銷管理
商學院,網頁設計及動畫
商學院,串媒體與品牌行銷
商學院,留學講座
商學院,國際企業經營策略
商學院,英文翻譯與寫作
商學院,商業分析專題
