"教學學習實務(一)","教學學習實務一"
"班級活動","班級活動"
"體育(一)","體育一"
"大學國文(一)","大學國文一"
"多元文化","多元文化"
"專業領域概述","專業領域概述"
"溝通表達技巧(一)","溝通表達技巧一"
"創意思考","創意思考"
"跨領域專題實作","跨領域專題實作"
"經濟學(一)","經濟學一"
"經濟學(一)實習","經濟學一實習"
"微積分(一)實習","微積分一實習"
"微積分(一)","微積分一"
"資訊素養作業一：資料蒐集報告","資訊素養作業一：資料蒐集報告"
"漫談閩南語","漫談閩南語"
"文學與生活","文學與生活"
"生涯規劃","生涯規劃"
"服務學習","服務學習"
"計算機概論","計算機概論"
"普通化學(一)","普通化學一"
"普通化學實驗(一)","普通化學實驗一"
"普通物理(一)","普通物理一"
"普通物理實驗(一)","普通物理實驗一"
"纖維與複合材料研發專論暨工程倫理","纖維與複合材料研發專論暨工程倫理"
"資訊素養作業二：危機處理分析","資訊素養作業二：危機處理分析"
"全民國防教育軍事訓練(一)","全民國防教育軍事訓練一"
"工程數學(一)","工程數學一"
"人造纖維工程(一)","人造纖維工程一"
"織品製程(一)","織品製程一"
"紗線製程(一)","紗線製程一"
"電腦輔助工程繪圖(一)","電腦輔助工程繪圖一"
"纖維化學(一)","纖維化學一"
"織品製程實習(一)","織品製程實習一"
"紗線製程實習(一)","紗線製程實習一"
"有機化學(二)","有機化學二"
"材料力學(一)","材料力學一"
"高分子化學","高分子化學"
"複合材料製程　","複合材料製程　"
"熱力學","熱力學"
"纖維物理(一)","纖維物理一"
"纖維染色學","纖維染色學"
"纖維製品檢驗實習","纖維製品檢驗實習"
"工程統計(一)","工程統計一"
"線性代數及其應用","線性代數及其應用"
"高等工程數學(一)","高等工程數學一"
"創意研發專論","創意研發專論"
"專題研究討論","專題研究討論"
"土木用補強材料","土木用補強材料"
"有機生醫材料概論","有機生醫材料概論"
"紡織工廠管理與設計","紡織工廠管理與設計"
"工廠加工實務(一)","工廠加工實務一"
"工程圖學(一)","工程圖學一"
"機電概論與工程倫理","機電概論與工程倫理"
"應用力學(一)","應用力學一"
"工程材料學(一)","工程材料學一"
"熱力學(一)","熱力學一"
"機動學(一)","機動學一"
"機械畫","機械畫"
"流體力學","流體力學"
"控制系統(一)","控制系統一"
"專題實作(一)","專題實作一"
"機械製造(一)","機械製造一"
"機械設計(一)","機械設計一"
"機械工程實驗(一)","機械工程實驗一"
"工廠管理","工廠管理"
"能源工程","能源工程"
"專題實作(三)","專題實作三"
"工具機專論","工具機專論"
"暑期校外專業實習","暑期校外專業實習"
"新科技之進化與應用(一)","新科技之進化與應用一"
"智慧機械專題實作","智慧機械專題實作"
"電子熱傳學","電子熱傳學"
"電腦輔助結構分析","電腦輔助結構分析"
"電腦輔助工程分析-ANSYS","電腦輔助工程分析-ANSYS"
"電工及電子學實驗","電工及電子學實驗"
"塑膠射出模流分析實務","塑膠射出模流分析實務"
"學期校外實習導論","學期校外實習導論"
"工具機主軸設計與分析","工具機主軸設計與分析"
"工業工程與系統管理概論","工業工程與系統管理概論"
"工程數學","工程數學"
"工程統計(一)實習","工程統計一實習"
"工作研究","工作研究"
"經濟學","經濟學"
"製造程序","製造程序"
"成本管理(一)","成本管理一"
"電工概論","電工概論"
"生產與作業管理","生產與作業管理"
"作業研究(一)","作業研究一"
"品質管制","品質管制"
"專業外語","專業外語"
"生產排程","生產排程"
"表現技法","表現技法"
"供應鏈管理導論","供應鏈管理導論"
"設施規劃","設施規劃"
"設施規劃實習","設施規劃實習"
"畢業專題","畢業專題"
"決策支援系統與企業智慧","決策支援系統與企業智慧"
"化學工程概論","化學工程概論"
"分析化學","分析化學"
"有機化學實驗(一)","有機化學實驗一"
"有機化學(一)","有機化學一"
"質能均衡","質能均衡"
"奈米技術概論","奈米技術概論"
"塗料化學","塗料化學"
"化工熱力學","化工熱力學"
"物理化學(二)","物理化學二"
"物理化學實驗(一)","物理化學實驗一"
"單元操作(二)","單元操作二"
"化工程序模擬","化工程序模擬"
"高分子工程","高分子工程"
"醱酵工程","醱酵工程"
"程序設計","程序設計"
"程序控制","程序控制"
"單元操作實驗(一)","單元操作實驗一"
"半導體材料","半導體材料"
"界面活性劑化學","界面活性劑化學"
"專題研究(二)","專題研究二"
"計算機程式語言","計算機程式語言"
"航太工程概論","航太工程概論"
"APPS程式設計","APPS程式設計"
"電子電路學","電子電路學"
"應用力學(二)","應用力學二"
"飛機次系統","飛機次系統"
"電腦輔助工程設計-CREO","電腦輔助工程設計-CREO"
"空氣動力學(一)","空氣動力學一"
"飛具結構學(一)","飛具結構學一"
"流體力學(二)","流體力學二"
"航太校外專業實習(一)","航太校外專業實習一"
"航太專題與實作(一)","航太專題與實作一"
"控制實驗(一)","控制實驗一"
"線性控制系統(二)","線性控制系統二"
"航行學","航行學"
"航太熱質傳學","航太熱質傳學"
"電腦輔助工程-ANSYS(一)","電腦輔助工程-ANSYS一"
"太空動力學","太空動力學"
"飛具設計(二)","飛具設計二"
"航太校外專業實習(二)","航太校外專業實習二"
"航太專題與實作(三)","航太專題與實作三"
"民用航空法及FAA民航法規","民用航空法及FAA民航法規"
"電腦輔助工程-CATIA","電腦輔助工程-CATIA"
"程式設計與應用","程式設計與應用"
"工程力學","工程力學"
"電腦輔助立體繪圖","電腦輔助立體繪圖"
"精密模具系統設計實務","精密模具系統設計實務"
"精密量測","精密量測"
"精密模具學","精密模具學"
"綠色產品設計","綠色產品設計"
"產業機械系統設計實務","產業機械系統設計實務"
"電控設計","電控設計"
"電控設計實驗","電控設計實驗"
"製造學","製造學"
"影像識別","影像識別"
"液氣壓動力系統","液氣壓動力系統"
"精密模具設計與製造(ㄧ)","精密模具設計與製造ㄧ"
"精密主軸設計與製造","精密主軸設計與製造"
"工具機模組設計與實務應用","工具機模組設計與實務應用"
"數位製造專題","數位製造專題"
"學年校外專業實習(一)","學年校外專業實習一"
"學年校外專業實習(二)","學年校外專業實習二"
"學年校外專業實習(三)","學年校外專業實習三"
"品牌創新與經營專題(一)","品牌創新與經營專題一"
"期權投資交易實務","期權投資交易實務"
"會計學(一)","會計學一"
"會計學(一)實習","會計學一實習"
"民法概要","民法概要"
"資訊網路","資訊網路"
"中級會計學(一)","中級會計學一"
"中級會計學(一)實習","中級會計學一實習"
"成本與管理會計(一)","成本與管理會計一"
"成本與管理會計(一)實習","成本與管理會計一實習"
"統計學(一)","統計學一"
"統計學(一)實習","統計學一實習"
"企業倫理","企業倫理"
"財政學","財政學"
"國際貿易與匯兌","國際貿易與匯兌"
"高等會計學(一)","高等會計學一"
"高等會計學(一)實習","高等會計學一實習"
"財務會計專題研究實習","財務會計專題研究實習"
"財務會計專題研究","財務會計專題研究"
"管理會計","管理會計"
"租稅申報實務","租稅申報實務"
"期貨與選擇權","期貨與選擇權"
"會計審計法規","會計審計法規"
"會計資訊系統(二)","會計資訊系統二"
"電腦審計","電腦審計"
"審計學(二)","審計學二"
"內部控制與鑑識會計","內部控制與鑑識會計"
"暑期校外專業實習(一)","暑期校外專業實習一"
"暑期校外專業實習(二)","暑期校外專業實習二"
"會計師業務實務","會計師業務實務"
"校外實習導論","校外實習導論"
"企業概論","企業概論"
"人力資源管理","人力資源管理"
"行銷管理","行銷管理"
"行為科學","行為科學"
"服務業行銷","服務業行銷"
"商業軟體應用(二)","商業軟體應用二"
"簡報技巧與溝通","簡報技巧與溝通"
"管理活用","管理活用"
"電子商務","電子商務"
"企業管理專題研究(一)","企業管理專題研究一"
"作業管理","作業管理"
"財務管理實習","財務管理實習"
"財務管理","財務管理"
"文化創意產業管理","文化創意產業管理"
"企業資源規劃實務(一)","企業資源規劃實務一"
"物流管理","物流管理"
"金融市場","金融市場"
"組織行為個案研究","組織行為個案研究"
"組織理論","組織理論"
"債券市場理論與實務","債券市場理論與實務"
"資料庫管理系統","資料庫管理系統"
"管理書信寫作","管理書信寫作"
"廣告管理","廣告管理"
"顧客關係管理","顧客關係管理"
"人際關係","人際關係"
"策略管理","策略管理"
"企業資源規劃實務(三)","企業資源規劃實務三"
"企業管理書報研討","企業管理書報研討"
"投資管理實務(一)","投資管理實務一"
"產業經營實務","產業經營實務"
"創業管理","創業管理"
"網路行銷","網路行銷"
"證券投資學","證券投資學"
"商業軟體應用","商業軟體應用"
"國際貿易實務(一)","國際貿易實務一"
"國際貿易理論與政策","國際貿易理論與政策"
"國際貿易實務(一)實習","國際貿易實務一實習"
"保險學","保險學"
"商業英文書信","商業英文書信"
"商用英文會話(一)","商用英文會話一"
"商事法","商事法"
"個體經濟學","個體經濟學"
"國際通路管理","國際通路管理"
"經濟問題分析","經濟問題分析"
"大陸與東協市場開發與通路管理","大陸與東協市場開發與通路管理"
"國際金融","國際金融"
"國際企業管理","國際企業管理"
"國際財務管理","國際財務管理"
"國際財務管理實習","國際財務管理實習"
"國際物流管理","國際物流管理"
"全球金融創新趨勢","全球金融創新趨勢"
"行銷研究","行銷研究"
"投資學","投資學"
"東亞台商與國際政治經濟","東亞台商與國際政治經濟"
"國際貿易展覽實務","國際貿易展覽實務"
"國貿英文(一)","國貿英文一"
"供應鏈管理","供應鏈管理"
"社會創新與企業社會責任","社會創新與企業社會責任"
"國際人力資源管理","國際人力資源管理"
"全球行銷管理","全球行銷管理"
"網路貿易與經營","網路貿易與經營"
"國際貿易經營管理","國際貿易經營管理"
"商用日文","商用日文"
"報關業務經營","報關業務經營"
"國際商務溝通","國際商務溝通"
"國際貿易操作實務","國際貿易操作實務"
"國際企業個案分析","國際企業個案分析"
"職場英文(一)","職場英文一"
"公民參與","公民參與"
"社會實踐","社會實踐"
"管理學","管理學"
"資訊素養作業三：資訊理論簡測","資訊素養作業三：資訊理論簡測"
"資訊素養作業四：實際參訪報告","資訊素養作業四：實際參訪報告"
"國際文化探索","國際文化探索"
"產業競爭分析","產業競爭分析"
"國際商業英文","國際商業英文"
"歐美經貿專題","歐美經貿專題"
"租稅法(一)","租稅法一"
"個體經濟學(一)","個體經濟學一"
"貨幣銀行學","貨幣銀行學"
"成本會計實習","成本會計實習"
"消費稅理論與制度","消費稅理論與制度"
"財產稅理論與制度","財產稅理論與制度"
"財政學(一)","財政學一"
"成本會計","成本會計"
"總體經濟學(一)","總體經濟學一"
"營利事業所得稅","營利事業所得稅"
"國際租稅","國際租稅"
"財稅專題","財稅專題"
"地方財政","地方財政"
"審計學","審計學"
"抽樣調查","抽樣調查"
"統計計算","統計計算"
"統計計算實習","統計計算實習"
"線性代數(一)","線性代數一"
"機率論","機率論"
"機率論實習","機率論實習"
"迴歸分析","迴歸分析"
"迴歸分析實習","迴歸分析實習"
"實驗設計","實驗設計"
"應用數理統計學(一)","應用數理統計學一"
"應用數理統計學(一)實習","應用數理統計學一實習"
"流行病學方法論","流行病學方法論"
"資料採礦","資料採礦"
"統計服務學習","統計服務學習"
"統計專題(一)","統計專題一"
"暑期校外專業實習(三)","暑期校外專業實習三"
"經濟書報導讀","經濟書報導讀"
"個體經濟學(一)實習","個體經濟學一實習"
"總體經濟學(一)實習","總體經濟學一實習"
"套裝軟體-OFFICE","套裝軟體-OFFICE"
"經濟數學(一)","經濟數學一"
"管理經濟學","管理經濟學"
"公共經濟學(一)","公共經濟學一"
"貨幣銀行學(一)","貨幣銀行學一"
"人力資源經濟學","人力資源經濟學"
"商業心理學","商業心理學"
"實驗經濟學","實驗經濟學"
"環境經濟學","環境經濟學"
"計量經濟學","計量經濟學"
"計量經濟學實習","計量經濟學實習"
"綜合專題研究","綜合專題研究"
"企業運作實務","企業運作實務"
"產業經濟學","產業經濟學"
"經濟成長","經濟成長"
"經濟學與心理學跨界探索","經濟學與心理學跨界探索"
"社會事業","社會事業"
"合作事業","合作事業"
"公民社會與第三部門","公民社會與第三部門"
"組織行為","組織行為"
"社會學","社會學"
"合作組織與管理","合作組織與管理"
"非營利組織與管理","非營利組織與管理"
"非營利事業經濟","非營利事業經濟"
"社會企業實務(一)","社會企業實務一"
"創新管理","創新管理"
"非營利與合作事業綜合研究(二)","非營利與合作事業綜合研究二"
"合作與非營利志願服務","合作與非營利志願服務"
"社區經營與管理","社區經營與管理"
"美學與產品創意","美學與產品創意"
"行銷表現工法","行銷表現工法"
"跨文化行銷溝通","跨文化行銷溝通"
"零售與通路經營","零售與通路經營"
"廣告與行銷溝通","廣告與行銷溝通"
"品牌與行銷文案設計","品牌與行銷文案設計"
"動態影像美學","動態影像美學"
"創意設計與意象","創意設計與意象"
"創意學","創意學"
"網路行銷與品牌發展","網路行銷與品牌發展"
"符號解碼與消費行為","符號解碼與消費行為"
"銷售推廣學","銷售推廣學"
"日本商情與策略","日本商情與策略"
"體驗與服務設計","體驗與服務設計"
"品牌關係經營實務專題","品牌關係經營實務專題"
"全球行銷與談判","全球行銷與談判"
"行銷分析與決策","行銷分析與決策"
"行銷企劃與商業決策","行銷企劃與商業決策"
"餐旅行銷管理","餐旅行銷管理"
"網頁設計及動畫","網頁設計及動畫"
"串媒體與品牌行銷","串媒體與品牌行銷"
"留學講座","留學講座"
"國際企業經營策略","國際企業經營策略"
"英文翻譯與寫作","英文翻譯與寫作"
"商業分析專題","商業分析專題"
