score,cls_name,credit,note,cid,tid,populartiy,ct
"1. Skills (20%): Swimming, Basket ball, or Volleyball skill test (20%)
2. Physical Fitness Assessment Tests (40%): 
    Test grades located in the last 10% of all Freshman will be recorded as fail. 
    Student who fail in two or more tests need to complete remedial course, or get 0 point in this assessment.
3. Attendance and Regulation (40%)：
   (1) Leave request -3 ~ -10% 
   (2) Late -2%
   (3) Skip school -15%
   (4) Disappear during class time without permission -40% 
        (*Pls inform when you need to leave.)
   (5) Exercise and Health Self-Regulation Passport: at least 1,300 points
   (6) No swimming in swimming course
        a) Limitation: 1 week in this semester. (Not including menstruation)
        b) Complete 12 laps walking/running in Athletic field.",國際生不分系一年級,0.0,僅限全校國際生大一不分系學士班學生選課,3,5,1.0,3_5
"assignments / 作業: 20%
presence / 出席 (total 16-time classes, including the midterm and final ones):  10%
   (more than 7-time absence, 7 included, ""fail""/under 60 scores will be the result of this course) 
Mid-term evaluation / 期中評量 (self-introduction video): 30%
Final evaluation / 期終評量 (introduce your country in groups): 40%",國際生不分系一年級,2.0,僅限全校國際生大一不分系學士班學生選課,4,3,0.675,4_3
"assignments: 20%
presence:  20%  
Mid-term exam (introduce Taichung):30%
Final Exam (introduce Taiwan): 30%",國際生不分系一年級,1.0,僅限全校國際生大一不分系學士班學生選課,5,3,0.675,5_3
"平時出席與回饋60% (每週皆須撰寫學習意見)
期中報告 15%
期末報告 15%",國際生不分系一年級,1.0,僅限全校國際生大一不分系學士班學生選課,6,1,0.675,6_1
"1.	Participation/Quizzes 25%: 4 scheduled quizzes+1 pop quiz (tentative, please see Requirements)
2.	Midterm 30%
3.	Final Presentation 30%
4.	Reflective paper 15%
5.	UP to 5% average bonus for active participation in classroom activities, discussions, etc.",國際生不分系一年級,3.0,僅限全校國際生大一不分系學士班學生選課,7,6,0.725,7_6
nan,國際生不分系一年級,1.0,僅限全校國際生大一不分系學士班學生選課,8,1,0.675,8_1
"Review Session Participation (實習課參與)  30%
Midterm (期中考試)  30%
Final Exam (期末考試)  40%",國際生不分系一年級,3.0,僅限全校國際生大一不分系學士班學生選課,10,9,0.675,10_9
"1.Midterm Exam 30%
2.Final Exam 30%
3.Attendance, Homework assignments or Quizzes 40%",國際生不分系一年級,3.0,僅限全校國際生大一不分系學士班學生選課,13,10,0.6,13_10
"作業與筆試40%，出席40%，課輔表現20%
Assignment & exam 40%, attendance 40%, participation of after-class tutor 20%",國際生不分系一年級,2.0,僅限全校國際生大一不分系學士班學生選課,14,11,0.675,14_11
nan,國際生不分系一年級,2.0,僅限全校國際生大一不分系學士班學生選課,15,12,0.675,15_12
"30% attendance  , 30% classroom participation , 40% term report",國際生不分系一年級,2.0,僅限全校國際生大一不分系學士班學生選課,16,13,0.675,16_13
nan,工學院綜合班,0.0,,1,14,1.0,1_14
nan,纖複一甲,0.0, ,3,17,1.0,3_17
"A.	Exam 1 (Midterm)	30%
B.	Exam 2 (Final)	40%
C.	Quiz/ attendance&presentation in class- average	30%",纖複一甲,2.0, ,19,16,1.0,19_16
"1. 出席情況；
2. 違反實驗室安全規則，如：未帶護目鏡、未穿實驗衣、穿涼鞋、短褲 ...；
3. 未帶實驗課本、實驗筆記本；
4. 實驗未知物分析結果；
5. 實驗報告；
以上規定於適當時期在理論講授時，詳加說明，告知同學。
實驗課與理論課不同，涉及同學在實驗室操作的安全，必須確實規範。",纖複一甲,1.0, ,20,20,1.0,20_20
"平時成績(點名與小考)佔: 30%
普物會考佔: 10%
期中考佔: 30%
期未考佔: 30%",纖複一甲,2.0, ,21,21,1.0,21_21
"期中成績60%: 預報24%+上課表現36%
期末成績40%：會考20%+筆試或操作考20%",纖複一甲,1.0, ,22,22,1.0,22_22
"期中 30%, 期末 30%, 其他 40% 
期中、期末考均配合學校考試時程。內容包含所有講授內容。 
其他 40% 內容是: 
實習課 (兩次會考、小考、 作業、由助教決定)、出席率、印象分數。目的在培養學生平時複習的學習習慣。 
大都是基本練習題.",纖複一甲,3.0, ,13,23,1.0,13_23
-1,纖複一甲,2.0,,4,33,0.96,4_33
-1,纖複一甲,2.0,,4,34,0.8913043478260869,4_34
-1,纖複一甲,2.0,,4,35,0.94,4_35
-1,纖複一甲,2.0,,4,36,0.8,4_36
-1,纖複一甲,2.0,,4,37,0.8913043478260869,4_37
-1,纖複一甲,2.0,,4,38,0.8695652173913043,4_38
-1,纖複一甲,2.0,,4,39,0.8,4_39
nan,纖複一乙,2.0, ,19,41,1.0,19_41
nan,纖複一乙,2.0, ,21,42,1.0,21_42
平時成績60%(報告30%+操作考30);期末考40%,纖複一乙,1.0, ,22,43,1.0,22_43
"1.期中考試 30 %
2.期末考試 30 %
3.平時成績 40 %",纖複一乙,3.0, ,13,44,1.0,13_44
-1,纖複一乙,2.0,,4,45,0.92,4_45
-1,纖複一乙,2.0,,4,46,0.9565217391304348,4_46
None,纖複二甲,0.0, ,2,18,0.8833333333333333,2_18
"midterm exam期中30％  Nov 17 不可用手機 不可翻書 不可請假 
final exam期末40％ Jan 19 不可用手機 不可翻書 不可請假  
others 其他30％
補考: (1)需附 教學醫院診斷證明書 (非就醫證明)  (2) 透過學校正式請假   (3)成績打6折  (4)題目較難 (5) 第一題: 我為何補考",纖複二甲,2.0, ,25,18,0.72,25_18
nan,纖複二甲,2.0, ,26,31,0.6933333333333334,26_31
"評分方式：
30%平時成績；30%期中考成績；40%期中考成績",纖複二甲,2.0, ,27,26,0.8714285714285714,27_26
"(1)平時成績：40%
(2)期中成績：30%
(3)期末成績：30%",纖複二甲,3.0, ,28,47,0.7466666666666667,28_47
"(1)平時成績: 30%
(2)期中成績: 30% 
(3)期末成績: 40%",纖複二甲,1.0, ,29,48,0.9666666666666667,29_48
"出席率及平常表現(40%)
期中考 (30%)
期末考(30%)",纖複二甲,2.0, ,30,24,0.8,30_24
"1. 平時成績：40% (含出席學習紀錄、實際操作及討論表現、實習報告) 
2. 期中考成績：30%(實作測驗) 
3. 期末考成績：30%",纖複二甲,1.0,梭織廠,31,15,0.7666666666666667,31_15
-1,纖複二甲,2.0,,33,24,1.0,33_24
nan,纖複二乙,0.0, ,2,25,0.9,2_25
nan,纖複三甲,0.0, ,2,28,0.7666666666666667,2_28
"1.	學期成績計算項目及權重標準如下：
A.	期中考	30%
B.	期末考	40%
C.	平時成績	(包括小考、作業、及出席率)  30%   
2.	考試(Exam 1,Exam 2, ＆ Quiz average)：
期中、期末考均配合學校考試時程。內容包含所有講授內容。小考共二次，目的在培養學生平時複習的學習習慣。小考時間均已排定在課程進度表中。 
3.	隨堂練習：
在課堂講解過程中，遇到適當的題目或基本觀念，當場要求學生作練習或回答，用以測試學生對課程內容的瞭解程度。
4.   建議學生作筆記：建議學生記下授課重點及學生個人聽講心得。",纖複三甲,2.0, ,34,25,0.72,34_25
"Letter or Numerical grades based on homework and exam scores, weighted as follows:
• Class participation	10%
• HW assignment		20%
• Midterm exam		25%
• Oral presentation	35%		
• Final report		10%

Any cheating on requirements will result in a grade of F.",纖複三甲,3.0, ,35,41,0.7,35_41
"1.學期成績計算項目及權重標準如下：
A.期中考	30%
B.期末考	35%
C.平時成績	(包括小考、作業、及出席率)  35%   
D.外加分數專題報告   10%
2.考試(Exam 1,Exam 2, ＆ Quiz average)：
期中、期末考均配合學校考試時程。內容包含所有講授內容。小考共二次，目的在培養學生平時複習的學習習慣。小考時間均排定在課程進度表中。 
3.隨堂練習：
在課堂講解過程中，遇到適當的題目或基本觀念，當場要求學生作練習或回答，用以測試學生對課程內容的瞭解程度。
4.建議學生作筆記：建議學生記下授課重點及學生個人聽講心得。
5.培養學生能以口頭方式將所獲結果有效與同學、助教及老師溝通，亦即從題目收集、閱讀與整理、共同討論、解決問題、以及分析討論等。外加分數之專題題目由各組組員及教師共同決定，格式及撰寫細節將在學期中時公布。另團隊合作及學習過程亦將是學習評估的重點。期末專題小組討論記錄需確實保留，助教亦將持續觀察各組進度，並需繳交進度報告。期末專題成果除書面報告外，將安排正式口頭發表。",纖複三甲,2.0, ,36,27,0.8857142857142857,36_27
"midterm exam期中30％ Nov 16 不可用手機 不可翻書 
final exam期末40％ Jan 18 不可用手機 不可翻書   
others 其他30％ 出席、練習、作業
補考: (1)需附 教學醫院診斷證明書 (非就醫證明)  (2) 透過學校正式請假   (3)成績打6折  (4)題目較難 (5) 第一題: 我為何補考",纖複三甲,3.0, ,37,18,0.64,37_18
nan,纖複三甲,2.0, ,38,28,0.7142857142857143,38_28
nan,纖複三甲,2.0, ,39,28,0.7142857142857143,39_28
"1. 平時成績：25% (含出席學習紀錄、隨堂討論表現)
2. 實驗報告：50%
3. 期末實作考試成績：25%",纖複三甲,2.0, ,40,15,0.7076923076923077,40_15
-1,纖複三甲,2.0, ,41,51,1.0,41_51
-1,纖複三甲,2.0,,42,18,1.0,42_18
-1,纖複三甲,2.0, ,43,25,0.7142857142857143,43_25
-1,纖複三甲,2.0,,44,52,0.23333333333333334,44_52
nan,纖複三乙,0.0, ,2,41,0.7833333333333333,2_41
"平時：50%(小考、出席率) 
小考共二次，目的在培養學生平時複習的學習習慣。小考時間均已排定在課程進度表中。 
期中考：25% 
期末考：25% 
期末考均配合學校考試時程。內容包含所有講授內容與教科書中部分教材。",纖複三乙,3.0, ,35,30,0.8,35_30
"1.	學期成績計算項目及權重標準如下：
A.	期中考	30%
B.	期末考	40%
C.	平時成績	(包括小考、作業、及出席率)  30%   
2.	考試(Exam 1,Exam 2, ＆ Quiz average)：
期中、期末考均配合學校考試時程。內容包含所有講授內容。小考共二次，目的在培養學生平時複習的學習習慣。小考時間均已排定在課程進度表中。 
3.	隨堂練習：
在課堂講解過程中，遇到適當的題目或基本觀念，當場要求學生作練習或回答，用以測試學生對課程內容的瞭解程度。
4.   建議學生作筆記：建議學生記下授課重點及學生個人聽講心得。",纖複三乙,3.0, ,37,25,0.7333333333333333,37_25
"(1)	論文發表 50%
(2)	上課教師 25%
(3)	指導老師 25%",纖複四甲,1.0, ,45,25,0.7230769230769231,45_25
-1,纖複四甲,0.0,,2,29,1.0,2_29
-1,纖複四甲,3.0,,46,53,0.4857142857142857,46_53
-1,纖複四甲,2.0,,47,54,0.2714285714285714,47_54
-1,纖複四甲,3.0,,48,55,0.3,48_55
"(1)	論文發表 50%
(2)	上課教師 25%
(3)	指導老師 25%",纖複四乙,1.0, ,45,41,0.7846153846153846,45_41
nan,機電一甲,0.0, ,3,58,1.0,3_58
"學期成績計算項目及權重標準如下: 
(1)平時作業成績佔 33.3% 
(2)期中測驗成績佔 33.3% 
(3)期末上機測驗成績佔 33.3%",機電一甲,2.0, ,50,61,1.0,50_61
nan,機電一甲,0.0, ,12,63,1.0,12_63
"1.期中考試 30% 
2.期末考試 30% 
3.平時成績 40%",機電一甲,3.0, ,13,64,1.0,13_64
"平時成績：20%(作業與出席率等)
期中發表：40%
期末報告：40%",機電一甲,1.0, ,51,65,1.0,51_65
平時40%(小考加作業)，期中考30%，期末考30%,機電一甲,3.0, ,52,66,1.0,52_66
-1,機電一甲,2.0,,4,68,0.88,4_68
-1,機電一甲,2.0,,4,69,0.88,4_69
-1,機電一甲,2.0,,4,70,0.9347826086956522,4_70
-1,機電一甲,2.0,,4,71,0.62,4_71
"期中成績20%
平時成績40%
期末成績40%",機電一乙,0.0, ,3,75,1.0,3_75
"學期成績計算項目及權重標準如下: 
(1)平時作業成績佔 33.3%----全學期交圖6次以上 
(2)期中測驗成績佔 33.3% 
(3)期末測驗成績佔 33.3%",機電一乙,2.0, ,50,57,1.0,50_57
nan,機電一乙,0.0, ,12,77,1.0,12_77
"1.期中考試 30% 
2.期末考試 30% 
3.平時成績 40%",機電一乙,3.0, ,13,78,1.0,13_78
平時30%(小考加作業)，期中考30%，期末考40%,機電一乙,3.0, ,52,79,1.0,52_79
-1,機電一乙,2.0,,4,80,0.94,4_80
-1,機電一乙,2.0,,4,81,0.9782608695652174,4_81
-1,機電一乙,2.0,,4,82,0.98,4_82
-1,機電一乙,2.0,,4,83,0.96,4_83
nan,機電一丙,0.0, ,3,85,1.0,3_85
nan,機電一丙,0.0, ,12,87,1.0,12_87
"期中 30%, 期末 30%, 其他 40% 
期中、期末考均配合學校考試時程。內容包含所有講授內容。 
""其他 40%"" 的內容是: 
實習課(助教上課)(含一次或兩次會考, 小考1~3次, 作業)，
目的在訓練解題技巧及培養學生平時複習的學習習慣。 
大都是讓學生做基本的練習題, 及解答學生的問題.",機電一丙,3.0, ,13,88,1.0,13_88
"(1)平常成績 30%
(2)期中成績 40%
(3)期末成績 30%",機電一丙,1.0, ,51,89,1.0,51_89
-1,機電一丙,2.0,,4,90,0.94,4_90
-1,機電一丙,2.0,,4,91,0.98,4_91
-1,機電一丙,2.0,,4,92,0.98,4_92
"學期成績計算項目及權重標準如下： 
a.出席50％ 
b.觀察及討論50％",機電二甲,0.0, ,2,65,0.8142857142857143,2_65
nan,機電二甲,3.0, ,25,93,0.7714285714285715,25_93
"學期成績計算項目及權重標準如下： 
A. Exam 1 (Midterm) 30 % 
B. Exam 2 (Final) 30 % 
C. Quiz and exercise average 40 % 
考試(Exam 1、Exam 2 ＆ Quiz average)： 
期中、期末考配合學校考試時程。考試內容包括上課時講授內容與指定教材內容。小考共4次，目的在養成學生追隨上課進度,日積月累的學習態度與習慣。",機電二甲,2.0, ,53,65,0.92,53_65
"平時成績(30%):小考+出席
期中考(30%)
期末考(40%)",機電二甲,3.0, ,34,94,0.9333333333333333,34_94
"1. 學期成績計算項目及權重標準如下： 
A. Exam 1 (Midterm) 25% 
B. Exam 2 (Final) 30% 
C. Quiz average 45% 
2. 考試(Exam 1、Exam 2 ＆ Quiz average)： 
期中、期末考不可以看書，考的內容主要是上課所講的內容和類似於老師勾選的習題。小考可以看書，主要考一些需要查表的問題。 
每次上課都點名，到課率佔總成績的20％。 
每次上課鼓勵讓同學發問。",機電二甲,3.0, ,54,74,1.0,54_74
nan,機電二甲,2.0, ,55,56,0.7866666666666666,55_56
